NFL Team Name,Color 1,Color 2,Color 3,Color 4,Color 5
Baltimore Ravens,#241773,#000000,Gold #9E7C0C,Red #C60C30,
Cincinnati Bengals,#FB4F14,#000000,,,
Cleveland Browns,#311D00,#FF3C00,,,
Pittsburgh Steelers,#FFB612,#101820,Blue #003087,Red #C60C30,Silver #A5ACAF
Buffalo Bills,#00338D,#C60C30,,,
Miami Dolphins,#008E97,#FC4C02,Blue #005778,,
New England Patriots,#002244,#C60C30,New Century Silver #B0B7BC,,
New York Jets,#125740,#000000,Spotlight White #FFFFFF,,
Houston Texans,#03202F,#A71930,,,
Indianapolis Colts,#002C5F,#A2AAAD,,,
Jacksonville Jaguars,#101820,#D7A22A,Dark Gold #9F792C,Teal #006778,
Tennessee Titans,#0C2340,#4B92DB,Titans Red #C8102E,Titans Silver #8A8D8F,
Denver Broncos,#FB4F14,#002244,,,
Kansas City Chiefs,#E31837,#FFB81C,,,
Las Vegas Raiders,#000000, #A5ACAF,,,
Los Angeles Chargers,#0080C6,#FFC20E,White #FFFFFF,,
Chicago Bears,#0B162A,#C83803,,,
Detroit Lions,#0076B6,#B0B7BC,Black #000000,White #FFFFFF,
Green Bay Packers,#203731,#FFB612,,,
Minnesota Vikings,#4F2683,#FFC62F,,,
Dallas Cowboys,#003594,#041E42,Silver #869397,Silver-Green #7F9695,White #FFFFFF
New York Giants,#0B2265,#A71930,Gray #A5ACAF,,
Philadelphia Eagles,#004C54,#A5ACAF,Silver (Helmet) #ACC0C6,Black #000000,Charcoal #565A5C
Washington Commanders,#5A1414,#FFB612,,,
Atlanta Falcons,#A71930,#000000,Silver #A5ACAF,,
Carolina Panthers,#0085CA,#101820,Silver #BFC0BF,,
New Orleans Saints,#D3BC8D,#101820,,,
Tampa Bay Buccaneers,#D50A0A,#FF7900,Black #FF7900,Grey #B1BABF,Pewter #34302B
Arizona Cardinals,#97233F,#000000,Yellow #FFB612,,
Los Angeles Rams,#003594,#FFA300,Dark Gold #FF8200,Yellow #FFD100,White #FFFFFF
San Francisco 49ers,#AA0000,#B3995D,,,
Seattle Seahawks,#002244, #69BE28,Wolf Gray #A5ACAF,,
